number,ROI_mean,Vec (V)
0,22.34388282828283,0.0017776
1,22.342886868686865,0.00182718
2,22.342381818181817,0.00172802
3,22.342700000000008,0.00166605
4,22.343397979797974,0.00167225
5,22.343587878787872,0.00167844
6,22.343950505050508,0.00169704
7,22.34410303030303,0.00164746
8,22.34400707070707,0.00178999
9,22.342957575757566,0.00168464
10,22.341693939393934,0.00165366
11,22.34068585858587,0.00173422
12,22.34243434343434,0.00167225
13,22.343344444444448,0.00174661
14,22.343206060606068,0.00183957
15,22.342979797979797,0.00174661
16,22.34512525252526,0.00172182
17,22.343724242424244,0.00175281
18,22.344456565656557,0.00167844
19,22.34402121212121,0.00174042
20,22.34385454545454,0.00185196
21,22.343632323232328,0.00167225
22,22.34378282828283,0.00182718
23,22.345088888888892,0.0017776
24,22.344524242424246,0.0017652
25,22.34460000000001,0.00180239
26,22.344469696969693,0.00170943
27,22.3439191919192,0.00169704
28,22.343243434343442,0.00167844
29,22.34307676767676,0.00171563
30,22.341485858585862,0.00173422
31,22.341589898989895,0.0015669
32,22.341688888888882,0.00169704
33,22.34146868686868,0.00172182
34,22.341327272727284,0.00154211
35,22.34206363636363,0.00159168
36,22.33925757575757,0.00161028
37,22.341264646464644,0.00168464
38,22.34351212121212,0.00171563
39,22.342596969696967,0.00167225
40,22.340225252525247,0.00164746
41,22.34171515151515,0.00172182
42,22.341661616161623,0.00164126
43,22.34106969696969,0.00164746
44,22.34105353535355,0.00172802
45,22.341852525252527,0.00161028
46,22.342546464646464,0.00167844
47,22.341840404040408,0.00158549
48,22.34223737373737,0.00171563
49,22.344035353535357,0.00165366
50,22.34438383838385,0.00165985
51,22.34283535353535,0.00161028
52,22.34089191919192,0.00165985
53,22.340877777777774,0.00151112
54,22.341827272727283,0.0017838
55,22.340381818181825,0.00175901
56,22.341514141414134,0.0017838
57,22.342271717171702,0.00163506
58,22.341067676767675,0.00159788
59,22.33909191919192,0.00158549
60,22.341079797979795,0.00172802
61,22.340345454545457,0.00169704
62,22.338326262626264,0.00171563
63,22.337737373737365,0.00163506
64,22.33892121212121,0.00168464
65,22.33969393939395,0.00169704
66,22.339913131313132,0.00164126
67,22.338942424242415,0.00151732
68,22.337882828282815,0.00179619
69,22.337640404040403,0.00167225
70,22.337773737373738,0.00167844
71,22.337025252525255,0.00161647
72,22.339048484848483,0.00159168
73,22.337932323232323,0.00170943
74,22.337413131313134,0.00179619
75,22.337228282828285,0.00183337
76,22.337954545454544,0.00180858
77,22.340506060606053,0.00148014
78,22.33668787878788,0.00172802
79,22.340318181818187,0.00169084
80,22.33974646464647,0.00173422
