number,ROI_mean,Vec (V)
0,8.067898522727274,0.00135619
1,8.06787579545455,0.00145535
2,8.067911590909093,0.00136239
3,8.067923522727277,0.00146774
4,8.068105909090912,0.00153591
5,8.068757613636363,0.00142436
6,8.066949715909097,0.00139957
7,8.066401420454548,0.00145535
8,8.065988920454547,0.00142436
9,8.066080397727275,0.00148014
10,8.066590625000007,0.00145535
11,8.067098579545462,0.00139957
12,8.06623414772727,0.00137478
13,8.066371079545453,0.00130662
14,8.06636823863636,0.00139957
15,8.06640630681818,0.00138718
16,8.06677789772727,0.00143056
17,8.067570511363632,0.00142436
18,8.067433920454546,0.00142436
19,8.067116874999996,0.00138718
20,8.06670267045454,0.00138718
21,8.066711761363635,0.00139957
22,8.067016306818177,0.00144295
23,8.066980511363637,0.00147394
24,8.066897215909089,0.00148014
25,8.06718982954545,0.00143056
26,8.06766880681818,0.00141816
27,8.067527329545456,0.00147394
28,8.066817102272722,0.00146774
29,8.066397784090908,0.00143676
30,8.066245965909088,0.00136859
31,8.066901079545453,0.00143056
32,8.067227215909089,0.00136859
33,8.06727380681818,0.00143056
34,8.067034602272724,0.00144915
35,8.066424374999997,0.00143056
36,8.06686488636364,0.00139957
37,8.067351250000005,0.00139338
38,8.067169431818185,0.00141816
39,8.067257500000004,0.00149253
40,8.067608068181823,0.00147394
41,8.067279090909095,0.00140577
42,8.066749659090918,0.00143676
43,8.066354204545458,0.00136859
44,8.066768409090916,0.00148014
45,8.06700363636364,0.00147394
46,8.066724659090921,0.00141816
47,8.066526363636372,0.00135619
48,8.06755005681819,0.00130662
49,8.067284715909098,0.0013438
50,8.066976761363648,0.00140577
51,8.066811988636372,0.00151112
52,8.067454602272734,0.00147394
53,8.068135852272738,0.00142436
54,8.068660340909089,0.0015545
55,8.06814215909091,0.00143676
56,8.068501818181822,0.00129422
57,8.067990454545454,0.00143056
58,8.068433636363636,0.00135
59,8.068567159090906,0.00127563
60,8.067675625000003,0.00138098
61,8.067017670454547,0.00140577
62,8.066829034090908,0.00135619
63,8.066753579545457,0.00144295
64,8.066631874999999,0.0013438
65,8.066667784090908,0.00148014
66,8.067291193181815,0.00141197
67,8.066932670454543,0.00148014
68,8.066731534090907,0.00142436
69,8.067146306818172,0.00139957
70,8.067651420454542,0.00132521
71,8.06717926136363,0.00130042
72,8.066685113636357,0.00123225
73,8.067341363636357,0.00135619
74,8.066758409090902,0.00132521
75,8.066328863636356,0.00122605
76,8.066473181818175,0.00136859
77,8.066291931818174,0.00142436
78,8.066876647727272,0.00138098
79,8.066208465909089,0.00148633
80,8.065897670454543,0.00141816
81,8.065944261363633,0.00148014
82,8.066256193181815,0.00135
83,8.06672607954545,0.00128802
84,8.065394034090916,0.00135
85,8.065878125000005,0.00135
86,8.066571875000006,0.00137478
87,8.066704829545461,0.0013314
88,8.06622017045455,0.00141197
89,8.065820170454549,0.00138718
90,8.066279715909086,0.00131281
91,8.067031988636359,0.0629373
92,8.067402443181816,0.201549
93,8.06734789772727,0.201499
94,8.067051306818176,0.201481
95,8.06678142045454,0.201462
96,8.067668181818181,0.201487
97,8.067547159090909,0.201487
98,8.067488068181818,0.201431
99,8.06776988636364,0.201357
100,8.067964204545456,0.20153
101,8.067298920454549,0.20158
102,8.066298352272726,0.201536
103,8.066964829545453,0.201524
104,8.066710852272728,0.201419
105,8.066176761363637,0.201505
106,8.066035852272726,0.201431
107,8.066418863636363,0.201388
108,8.06596346590909,0.201549
109,8.066102102272724,0.201512
110,8.066220852272728,0.201437
111,8.06564755681818,0.201456
112,8.065470284090908,0.201462
113,8.067554943181817,0.201388
114,8.06773931818182,0.201549
115,8.067747272727278,0.20153
116,8.067732500000007,0.20158
117,8.067925681818185,0.201567
118,8.06812170454546,0.201462
119,8.067829659090913,0.201369
120,8.06842789772728,0.201351
121,8.067868238636366,0.201493
122,8.067238693181825,0.197453
123,8.067261420454555,0.201233
124,8.06703982954546,0.201183
125,8.064961420454555,0.201357
126,8.06593403409091,0.20127
127,8.06503346590909,0.201307
128,8.06533630681818,0.201338
129,8.06564596590909,0.201264
130,8.06523005681818,0.20127
131,8.064485738636364,0.201258
132,8.063850852272726,0.201227
133,8.06509289772727,0.201208
134,8.06511164772727,0.20114
135,8.065214488636364,0.201208
136,8.065601420454545,0.20122
137,8.065150852272724,0.201264
138,8.064094090909094,0.201214
139,8.063741818181818,0.201351
140,8.063841250000003,0.201295
141,8.064366818181822,0.201307
142,8.064847500000004,0.201214
143,8.064730511363637,0.20114
144,8.06430068181818,0.201183
145,8.064416590909092,0.20127
146,8.064709204545458,0.201158
147,8.064471193181818,0.201344
148,8.063831363636366,0.201363
149,8.063656420454548,0.201239
150,8.064887272727274,0.201239
151,8.064315681818178,0.201357
152,8.064150340909093,0.201338
